encounter_id,miss_distance_m,pc,lead_time_nocoop_min,lead_time_cooperative_min,lead_time_gain_min
ENC-63646-63657-590730,813.0,0.00021329390560020345,1344.0,4320.0,2976.0
ENC-66939-69462-259770,814.7,0.00021213872175767628,1343.0,4320.0,2977.0
ENC-68714-68715-443880,816.1,0.00021115887087686018,1342.0,4320.0,2978.0
ENC-52619-68234-330180,821.7,0.00020734075532871277,1338.0,4320.0,2982.0
ENC-59498-59623-304650,823.1,0.00020637235624596247,1337.0,4320.0,2983.0
ENC-56037-59672-562650,823.2,0.00020632609100401257,1337.0,4320.0,2983.0
ENC-65375-66104-400290,823.6,0.00020602948298408257,1337.0,4320.0,2983.0
ENC-65678-65683-522030,828.4,0.00020276633211804295,1333.0,4320.0,2987.0
ENC-64745-66278-519720,829.6,0.00020198978210955328,1333.0,4320.0,2987.0
ENC-62765-62766-404730,832.8,0.0001998086099340581,1330.0,4320.0,2990.0
ENC-66433-66526-380370,833.5,0.00019936309104979014,1330.0,4320.0,2990.0
ENC-56555-58736-554850,835.3,0.00019818499267125936,1328.0,4320.0,2992.0
ENC-57531-59578-427170,837.1,0.0001969562908093144,1327.0,4320.0,2993.0
ENC-65448-68219-450090,838.9,0.00019581221558358764,1326.0,4320.0,2994.0
ENC-63436-63445-436410,839.4,0.0001955023700224051,1325.0,4320.0,2995.0
ENC-66327-67344-590430,839.6,0.00019533168473554193,1325.0,4320.0,2995.0
ENC-56557-61978-570960,841.9,0.00019380926396819144,1324.0,4320.0,2996.0
ENC-67967-69044-276750,842.0,0.00019379252306074273,1324.0,4320.0,2996.0
ENC-69150-69189-262980,848.3,0.00018971305644330697,1319.0,4320.0,3001.0
ENC-56521-57374-520290,851.0,0.00018792448734627834,1317.0,4320.0,3003.0
ENC-68979-69962-284790,852.0,0.0001873141381037112,1316.0,4320.0,3004.0
ENC-65647-68248-420300,856.1,0.00018470296330246698,1313.0,4320.0,3007.0
ENC-63008-63017-375840,856.3,0.00018457215485634564,1313.0,4320.0,3007.0
ENC-61514-61717-437220,857.5,0.00018381062624781868,1312.0,4320.0,3008.0
ENC-59877-62500-338340,859.5,0.00018257652385380836,1310.0,4320.0,3010.0
ENC-58881-60358-417990,866.9,0.0001779334483014912,1305.0,4320.0,3015.0
ENC-62145-62146-313200,869.7,0.00017625367777077656,1302.0,4320.0,3018.0
ENC-68817-69044-302580,873.1,0.0001741849395576608,1300.0,4320.0,3020.0
ENC-62450-69357-527280,875.0,0.0001730283864266222,1298.0,4320.0,3022.0
ENC-63084-63095-533670,875.7,0.00017259221728699068,1298.0,4320.0,3022.0
ENC-68786-69705-458160,876.1,0.0001723422490030061,1297.0,4320.0,3023.0
ENC-48131-48144-461430,877.5,0.00017149724272512974,1296.0,4320.0,3024.0
ENC-47843-65470-371010,879.1,0.00017051353378805533,1295.0,4320.0,3025.0
ENC-65355-69846-494640,880.6,0.0001696700126768374,1294.0,4320.0,3026.0
ENC-56007-58494-349440,882.2,0.00016870646603913496,1292.0,4320.0,3028.0
ENC-65505-65510-437370,882.2,0.00016868397763008887,1292.0,4320.0,3028.0
ENC-59606-59623-567720,883.3,0.0001680275446888691,1291.0,4320.0,3029.0
ENC-56031-59900-387690,885.3,0.000166822949067361,1290.0,4320.0,3030.0
ENC-56504-59787-439590,886.0,0.0001664453432367093,1289.0,4320.0,3031.0
ENC-47742-50171-362130,886.5,0.0001661418050502756,1289.0,4320.0,3031.0
ENC-58608-59651-430860,888.4,0.00016504455301195618,1287.0,4320.0,3033.0
ENC-56002-58417-408000,891.3,0.00016332252148160226,1285.0,4320.0,3035.0
ENC-56300-67425-480330,892.7,0.00016252952548393237,1284.0,4320.0,3036.0
ENC-57364-66559-523920,897.7,0.00015960804216588487,1279.0,4320.0,3041.0
